n_files,n_threads,duration
12500,1,3.588621178
12500,2,2.457779837
12500,3,2.358189131
12500,4,2.40445377
12500,6,2.416709286
12500,8,2.404937646
12500,16,2.434037787
12500,32,2.532544649
25000,1,8.278708885
25000,2,5.655543575
25000,3,5.327173575
25000,4,5.479649128
25000,6,5.566051471
25000,8,5.88612469
25000,16,5.891105329
25000,32,5.949771577
50000,1,18.207579954
50000,2,12.448510513
50000,3,12.894568904
50000,4,13.220016906
50000,6,13.220273938
50000,8,14.063664343
50000,16,13.762838826
50000,32,14.205161097
75000,1,28.937957315
75000,2,21.54123411
75000,3,21.584724029
75000,4,22.266989587
75000,6,22.297605694
75000,8,21.633186752
75000,16,21.268586248
75000,32,20.774688761
100000,1,35.97453012
100000,2,27.017155531
100000,3,26.47465275
100000,4,28.690089943
100000,6,28.141222771
100000,8,28.82426207
100000,16,29.23043301
100000,32,30.051353582
